Created Date,Gift Name,User ID,Product,Price,Has Relationship (Yes / No),Occasion,Use Case,Missing Value Check
02-02-2021,Chocolate Drop Shortbread Rounds in Tin,43662198,PC,9.99,No,Just Because,Just Because / Miss you / Love,0
02-02-2021,Happy Birthday Music Box in a Matchbox,40824958,GC,5.99,No,Just Because,Just Because / Miss you / Love,0
02-02-2021,Happy Birthday Music Box in a Matchbox,44071762,GC,5.99,No,Special Occasions,Happy Birthday,0
02-02-2021,Grow Your Own Micropub Seed Kit in a matchbox,43512494,PC,5.99,No,Just Because,Thank You,0
02-02-2021,Bonsai Trees Growing Kit,38773794,PC,12.99,No,Just Because,Just Because / Miss you / Love,0
02-02-2021,Happy Birthday Music Box in a Matchbox,39475400,GC,5.99,No,Special Occasions,Happy Birthday,0
02-02-2021,Dark Chocolate Truffles with Edible Gold Leaf,42710276,GC,14.99,No,Sympathy,Get Well Soon,0
02-02-2021,Milk Chocolate &amp; Toffee &quot;Congrats&quot; and Milk Chocolate &amp; Salted Caramel Bars,39143722,PC,8.49,No,Special Occasions,Congratulations,0
01-02-2021,Happy Birthday Music Box in a Matchbox,39552423,GC,5.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Dark Sea Salt Caramel Chocolate Truffles,44727568,GC,14.99,No,Just Because,Just Because / Miss you / Love,0
01-02-2021,The Captains Kentish Apple &amp; Hazelnut Cookies,43826210,GC,6.99,Yes,Special Occasions,Happy Birthday,0
01-02-2021,Belgian Chocolates Selection,38649581,GC,13.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Dark Chocolate Truffles with Edible Gold Leaf,43626916,PC,14.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Happy Birthday Gift Set - size 41-46,44166410,PC,29.99,Yes,Special Occasions,Happy Birthday,0
01-02-2021,Thank You Mini Jar Of Paper Roses in a matchbox,39685766,GC,4.99,No,Just Because,Thank You,0
01-02-2021,Demerara Shortbread Rounds Tin,37867887,PC,9.99,No,Sympathy,Condolences,0
01-02-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,43604754,PC,8.49,No,Special Occasions,Happy Birthday,0
